suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
1,1,4,8,4,100.0,83.33,100.0,False
1,2,4,8,4,100.0,83.33,100.0,False
1,3,4,8,4,100.0,83.33,100.0,False
1,4,4,8,4,100.0,83.33,100.0,False
1,5,4,8,4,100.0,83.33,100.0,True
2,1,4,8,4,100.0,88.33,100.0,False
2,2,4,8,4,100.0,88.33,100.0,True
2,3,4,8,4,100.0,88.33,100.0,False
2,4,4,8,4,100.0,88.33,100.0,False
2,5,4,8,4,100.0,88.33,100.0,False
3,1,4,8,4,100.0,85.0,100.0,False
3,2,4,8,4,100.0,85.0,100.0,False
3,3,4,8,4,100.0,85.0,100.0,False
3,4,4,8,4,100.0,85.0,100.0,False
3,5,4,8,4,100.0,85.0,100.0,False
4,1,4,8,4,100.0,85.0,100.0,False
4,2,4,8,4,100.0,85.0,100.0,False
4,3,4,8,4,100.0,85.0,100.0,False
4,4,4,8,4,100.0,85.0,100.0,False
4,5,4,8,4,100.0,85.0,100.0,False
5,1,4,8,4,100.0,83.33,100.0,False
5,2,4,8,4,100.0,83.33,100.0,False
5,3,4,8,4,100.0,83.33,100.0,False
5,4,4,8,4,100.0,83.33,100.0,False
5,5,4,8,4,100.0,83.33,100.0,False
6,1,4,8,4,100.0,83.33,100.0,False
6,2,4,8,4,100.0,83.33,100.0,False
6,3,4,8,4,100.0,83.33,100.0,True
6,4,4,8,4,100.0,83.33,100.0,False
6,5,4,8,4,100.0,83.33,100.0,False
7,1,4,8,4,100.0,85.0,100.0,False
7,2,4,8,4,100.0,85.0,100.0,False
7,3,4,8,4,100.0,85.0,100.0,True
7,4,4,8,4,100.0,85.0,100.0,False
7,5,4,8,4,100.0,85.0,100.0,False
8,1,4,8,4,100.0,85.0,100.0,False
8,2,4,8,4,100.0,85.0,100.0,False
8,3,4,8,4,100.0,85.0,100.0,False
8,4,4,8,4,100.0,85.0,100.0,False
8,5,4,8,4,100.0,85.0,100.0,False
9,1,4,8,4,100.0,88.33,100.0,False
9,2,4,8,4,100.0,88.33,100.0,False
9,3,4,8,4,100.0,88.33,100.0,False
9,4,4,8,4,100.0,88.33,100.0,False
9,5,4,8,4,100.0,88.33,100.0,True
10,1,4,8,4,100.0,88.33,100.0,False
10,2,4,8,4,100.0,88.33,100.0,False
10,3,4,8,4,100.0,88.33,100.0,False
10,4,4,8,4,100.0,88.33,100.0,False
10,5,4,8,4,100.0,88.33,100.0,False
